title	1	2	3	FeZn	Ag	Au	Cu	Fe	In	Mo	Ni	Pb	Sn	Ti	W	Zn	Zr	Magnet	OhneMagnet
199	16	31	22	10	18	21	24	43	8	14	11	268	2	6	4	27	15	34	34
200	20	22	22	9	24	13	15	24	8	8	12	229	9	3	2	29	21	21	36
201	20	23	14	8	13	24	14	29	5	12	16	146	2	6	0	24	17	30	38
202	10	22	8	12	9	28	17	29	3	13	17	90	2	0	0	33	18	24	37
203	14	32	20	8	8	39	10	22	2	16	19	68	5	1	1	35	22	28	34
204	8	21	22	5	11	41	9	23	8	28	12	39	8	4	5	34	18	21	38
205	8	28	18	4	4	40	15	15	10	18	10	34	5	5	1	26	27	39	49
206	6	28	14	4	9	63	8	16	6	20	15	22	6	6	1	26	19	21	32
207	12	9	12	6	11	49	16	18	6	18	13	12	2	4	6	29	27	28	40
208	4	26	13	5	3	47	12	8	3	20	14	10	2	7	3	28	23	34	21
209	5	10	17	5	7	41	9	9	7	16	15	7	2	2	5	27	23	18	37
210	5	19	11	7	5	30	7	7	10	12	14	6	5	4	0	25	20	28	30
211	7	14	11	8	9	30	8	5	4	8	12	3	7	6	7	23	16	21	20
212	4	12	5	5	7	34	8	4	2	7	12	6	6	3	2	18	16	26	30
213	3	12	6	2	0	21	9	2	5	19	10	9	3	2	3	14	23	25	34
214	5	11	4	2	5	16	9	6	8	13	9	6	4	0	5	13	20	23	26
215	2	9	6	3	5	20	4	4	6	21	15	6	2	3	3	18	23	25	13
216	2	16	9	3	10	14	6	5	6	20	11	4	3	4	1	21	31	17	20
217	7	11	9	3	7	12	9	4	5	23	12	13	4	0	2	18	19	16	22
218	5	13	10	0	8	6	8	4	5	26	13	6	2	0	5	12	22	23	25
219	3	5	3	2	5	4	6	4	9	32	8	12	7	1	8	25	13	20	22
220	4	12	4	5	5	9	7	3	5	33	18	15	4	3	5	14	26	22	18
221	6	8	6	1	10	5	7	3	10	38	15	28	2	2	4	10	18	21	20
222	4	9	7	4	7	3	5	4	5	33	10	28	10	3	7	8	23	23	23
223	3	5	9	4	7	8	7	4	7	27	12	38	4	4	7	13	20	28	23
224	3	7	8	4	5	6	5	3	4	30	21	50	5	1	7	12	22	20	22
225	5	14	10	4	2	5	6	8	3	19	22	52	2	1	12	16	33	12	24
226	2	8	7	4	2	6	7	5	4	15	21	50	6	2	15	4	22	15	16
227	6	11	2	3	10	2	11	7	5	13	13	39	4	1	8	9	25	19	22
228	2	10	7	1	7	3	10	3	5	15	10	29	5	7	7	8	31	17	20
229	3	6	4	4	6	6	8	8	5	12	14	28	2	2	8	5	56	12	16
230	4	10	6	1	6	6	2	4	4	11	10	26	3	3	13	8	81	17	19
231	4	8	7	1	4	7	9	9	6	11	18	22	1	2	3	10	115	10	19
232	5	3	7	2	4	5	9	7	3	9	8	15	2	1	2	5	183	19	14
233	3	12	6	4	6	8	4	4	4	8	7	9	3	1	3	5	297	20	14
234	2	6	3	3	4	7	11	10	1	16	7	13	5	1	6	5	490	12	17
235	1	8	4	2	6	4	5	6	3	20	8	12	6	2	5	4	676	20	13
236	3	8	7	2	10	5	9	3	8	14	5	7	3	2	2	8	865	18	27
237	1	14	3	1	6	7	12	6	2	17	2	4	2	2	2	4	1035	16	20
238	3	6	3	1	7	3	9	4	2	20	5	5	6	3	2	11	1074	11	15
